ra,dec,phot_g_mean_mag
33.88417928281778,68.40088567351471,11.197122
34.50558215667996,68.42919392694124,11.231153
34.13591339820352,68.48553605296492,11.906064
34.124898001636105,68.55249838954173,10.365433
33.45479418795597,68.26568026434497,11.957505
33.13242097512269,68.30474640630473,11.33503
33.130367767089844,68.34801264797689,10.108912
33.29480679650401,68.40087239434831,11.549519
32.65951858892333,68.5360458326087,9.943732
33.47894849402198,68.37295298184405,10.200913
33.49979882975982,68.45857228785273,10.574172
33.23955092776439,68.47939511515297,11.828497
33.306343005073195,68.53515993522602,11.930172
33.365190373884865,68.62514726638405,10.583226
33.737568546933815,68.54445760267282,11.736657
33.84517384659623,68.60086256685301,11.359682
33.90683909186096,68.69317669305418,11.863735
33.68544056698435,68.66665196229071,11.684588
33.81446249646018,68.73830327085871,11.561018
33.11752518223892,68.53055134720084,11.6577
33.13932912221578,68.65256084260817,11.367508
33.28978659243351,68.68009759603392,11.722743
32.82382520475227,68.698778489178,10.594615
33.298360222904634,68.80573803717151,10.305063
33.39471136288032,68.89511870205335,9.652739
33.18314291668605,68.83298080213567,11.495826
33.157760082560024,68.9555692097465,11.329475
32.65295847588966,68.78299982261956,10.126367
32.39723652377555,68.8097606524056,11.706002
32.44995723001099,68.80735874108193,11.190143
32.681860307856475,68.83980426755316,11.002195
32.25982057145433,68.81036686847276,11.93869
32.44682636939007,68.84444252782298,11.48918
32.810126025514904,68.90381746745038,10.665121
32.80078877597691,68.97000444880833,11.327819
32.99405161754653,69.0896978905549,11.7666445
32.655552741660564,69.01786182009147,11.616249
32.6233172588005,69.05967008171145,10.541973
31.9950898765668,69.16544106509893,11.24454
31.894939809290232,69.20461230414762,10.533637
32.39727620486932,69.09214494505358,11.278818
32.41964103328761,69.25761172756314,11.805625
32.144702666772226,69.18519527491914,10.293165
32.204711980128366,69.34679742217561,11.237746
36.06728005787633,67.99479692225981,10.602156
35.73588773365313,68.05332273908797,10.287946
35.70282870204819,68.05828622491553,11.388606
35.73109781186441,68.17924076690863,11.544787
36.25216610421143,68.2050865683102,11.555119
36.240970963424495,68.22602903888738,10.980533
36.41200825374037,68.29587222586932,11.317313
35.55120868192761,68.26356745894716,11.780865
35.747503281043116,68.25383968831684,11.967913
35.26005060310228,68.25457206983074,11.632665
35.24609166477696,68.27143703464692,11.228672
35.420384389380075,68.42312963189225,11.819487
35.646397904330904,68.4232498218297,9.209502
35.74388047826143,68.49747337931578,10.669632
36.713331564235204,68.53725423898636,11.143069
36.745572408630984,68.55173909211824,9.616815
36.24656987844904,68.49070643989603,11.686225
36.34970149833937,68.57073550949933,8.938107
37.07179528627171,68.65629999406168,9.046742
36.6912779397153,68.63594939294035,10.700401
