ra_deg,dec_deg,mag
79.55513908006292,73.26797189084391,5.8054204
52.654108886318454,48.10348438764191,5.806673
89.94977002915256,54.54681785017264,5.80674
1.0569179459497995,62.28766306377721,5.807129
76.55054730684735,59.02122087902668,5.8076453
52.07582094892958,44.377210729882066,5.8096952
174.4263825576215,77.59570883564152,5.8139834
98.63669665907501,55.35306792208882,5.8153076
146.37931765791168,78.13470021632659,5.815324
78.79768403446411,59.40563297901912,5.815626
46.41750134864312,56.06886409544544,5.8165536
336.6763883105313,78.78565678181232,5.819845
70.83994223159117,49.97372091624598,5.822247
62.0635641348381,37.7266257522242,5.8268695
341.2046122113628,52.51724210644997,5.82696
155.26325619516697,68.74750463579039,5.8277864
64.30129128500317,50.865801366610356,5.828056
350.1438828880648,62.213259927405225,5.83003
333.2201624790718,73.30728805424958,5.8313622
326.22196203788656,62.46056287157376,5.833052
89.27807969547626,45.50945980498693,5.833534
50.47011742630577,49.070624555513696,5.8338976
325.1805139108891,54.87216049845101,5.8351183
4.287710752549177,47.94738983994935,5.8352237
26.110479304091864,46.13955530319338,5.8379326
192.27686099785333,83.41792029544301,5.8380184
15.904173822046792,61.07481337752894,5.841658
63.7574570613044,57.460365194314655,5.842825
346.7919155774136,52.81665614099142,5.8434362
33.62119135053469,66.52441407667655,5.8437843
33.38963566676411,53.05858646712519,5.8440895
320.1389695969689,60.75632318606342,5.8461475
14.415256896492348,45.83935266326516,5.8471565
218.4070792406648,79.6607974601068,5.849936
21.578524697718308,43.45747650728724,5.854733
27.738335752876896,51.93290674299483,5.855865
28.724348042650533,40.7017506719494,5.858637
106.46572625462257,70.73189842773377,5.8588343
99.40985720619683,56.85757436652807,5.862448
46.829029344710584,64.05762960628883,5.8674283
19.542335992303435,47.41968877539928,5.8713083
355.56098994974457,44.991638067939675,5.8714204
128.22243444259507,69.31979315582856,5.874879
13.34314616570151,69.95614722633496,5.8801327
348.65527946569665,74.23130270076307,5.8827643
42.378075413919476,57.08431286240424,5.88588
163.80348400218608,77.08759431271787,5.886071
23.56929047864188,37.237095219593776,5.8870564
65.46574017190454,56.506348477322604,5.888953
81.9779552770106,48.22648594773482,5.8897476
129.92730942031483,73.62923426088021,5.8901825
27.62201770356167,53.742762757546025,5.8932843
38.02725674635574,50.18085223384382,5.8939033
120.62824628496067,63.09025825509534,5.894182
68.37827863742162,72.52820286876565,5.89424
43.33782173515911,48.56991963103038,5.8955746
67.6736308712612,57.411772886715795,5.8965864
47.92646891412149,81.47071246830942,5.897759
296.0768545665179,69.33696276213637,5.897845
72.21049053129624,75.9406249877694,5.898362
86.62678018050605,56.11531427049304,5.8988137
346.98844131507667,64.22251624657136,5.9013624
316.3723644562254,78.12652040613274,5.9022293
280.7932036188483,70.79282285290996,5.9028845
19.05940622782456,87.14540126541512,5.903064
